"","","stimuli_3","durations_3","choices_3","choice_durations_3","record_3"
"266",6,5738125,1250,5739375,3968,5743343
"267",6,5766392,1467,5767859,3751,5771610
"268",6,5787592,1800,5789392,3418,5792810
"269",6,5802342,1417,5803759,3801,5807560
"270",6,5823143,1233,5824376,3985,5828361
"271",6,5839710,1233,5840943,3985,5844928
"272",6,5867193,2967,5870160,2251,5872411
"273",6,5894844,1183,5896027,4035,5900062
"274",6,5908528,1400,5909928,3817,5913745
"275",6,5929111,2300,5931411,2918,5934329
"276",6,5943178,1667,5944845,3551,5948396
"277",6,5994495,2217,5996712,3001,5999713
"278",6,6025363,3350,6028713,1868,6030581
"279",6,6035763,3200,6038963,2018,6040981
"280",6,6169515,3900,6173415,1318,6174733
"281",6,6261483,2884,6264367,2334,6266701
"282",6,6278050,2517,6280567,2701,6283268
"283",6,6297734,2050,6299784,3168,6302952
"284",6,6310784,2400,6313184,2818,6316002
"285",6,6351518,1567,6353085,3651,6356736
"286",6,6385102,1267,6386369,3951,6390320
"287",7,12980954,3734,12984688,1484,12986172
"288",7,12987821,3633,12991454,1585,12993039
"289",7,13015205,1850,13017055,3368,13020423
"290",7,13022071,1134,13023205,4084,13027289
"291",7,13066255,1684,13067939,3534,13071473
"292",7,13080206,1133,13081339,4085,13085424
"293",7,13100873,2733,13103606,2485,13106091
"294",7,13135190,1433,13136623,3785,13140408
"295",7,13155757,1383,13157140,3835,13160975
"296",7,13203708,1133,13204841,4085,13208926
"297",7,13213958,1600,13215558,3618,13219176
"298",7,13234558,1134,13235692,4084,13239776
"299",7,13262259,1200,13263459,4017,13267476
"300",7,13269109,1733,13270842,3485,13274327
"301",7,13276142,867,13277009,4351,13281360
"302",7,13289842,2601,13292443,2617,13295060
"303",7,13297042,2634,13299676,2584,13302260
"304",7,13331510,1400,13332910,3818,13336728
"305",7,13345243,1467,13346710,3751,13350461
"306",7,13400327,1384,13401711,3834,13405545
"307",7,13428195,966,13429161,4251,13433412
"308",7,13441911,851,13442762,4367,13447129
"309",7,13448762,1950,13450712,3267,13453979
"310",7,13490179,1367,13491546,3851,13495397
"311",7,13589830,1184,13591014,4034,13595048
"312",7,13596697,884,13597581,4334,13601915
"313",7,13644715,1133,13645848,4085,13649933
"314",7,13651765,2283,13654048,2935,13656983
"315",7,13658632,1366,13659998,3851,13663849
"316",7,13700066,1316,13701382,3902,13705284
"317",7,13714282,1901,13716183,3317,13719500
"318",7,13721433,1266,13722699,3952,13726651
"319",7,13742033,2317,13744350,2901,13747251
"320",7,13821251,1617,13822868,3601,13826469
"321",7,13828418,3200,13831618,2017,13833635
"322",7,13870402,1683,13872085,3535,13875620
"323",7,13897985,1684,13899669,3534,13903203
"324",7,13920386,1150,13921536,4068,13925604
"325",7,13927236,2150,13929386,3068,13932454
"326",7,13934153,866,13935019,4352,13939371
"327",7,13954870,1216,13956086,4002,13960088
"328",7,13997587,1433,13999020,3785,14002805
"329",7,14238707,1051,14239758,4168,14243926
"330",7,14245574,2250,14247824,2968,14250792
"331",7,14279825,1200,14281025,4018,14285043
"332",7,14286675,1150,14287825,4068,14291893
"333",8,17154871,1867,17156738,3351,17160089
"334",8,17205955,5533,17211488,1017,17212505
"335",8,17317790,7600,17325390,1017,17326407
"336",8,17339107,3300,17342407,1918,17344325
"337",8,17382324,1467,17383791,3751,17387542
"338",8,17389958,3733,17393691,1485,17395176
"339",8,17427742,1350,17429092,3868,17432960
"340",8,17434659,1366,17436025,3852,17439877
"341",8,17470176,1450,17471626,3768,17475394
"342",8,17542894,4817,17547711,1016,17548727
"343",8,17565594,2717,17568311,2501,17570812
"344",8,17593478,1800,17595278,3418,17598696
"345",8,17600344,2167,17602511,3052,17605563
"346",8,17655295,1584,17656879,3634,17660513
"347",8,17662146,1533,17663679,3684,17667363
"348",8,17669612,2634,17672246,2584,17674830
"349",8,17690163,2733,17692896,2485,17695381
"350",8,17718646,2534,17721180,2684,17723864
"351",8,17725530,1600,17727130,3618,17730748
"352",8,17739280,1484,17740764,3734,17744498
"353",8,17789331,1033,17790364,4185,17794549
"354",8,17931500,2100,17933600,3118,17936718
"355",8,17952684,933,17953617,4285,17957902
"356",8,17981184,1617,17982801,3601,17986402
"357",8,18058335,2617,18060952,2601,18063553
"358",8,18101252,1451,18102703,3767,18106470
"359",8,18129786,1001,18130787,4217,18135004
"360",8,18187071,950,18188021,4268,18192289
"361",8,18259855,2084,18261939,3134,18265073
"362",8,18266705,1367,18268072,3851,18271923
"363",8,18281739,1617,18283356,3601,18286957
"364",8,18346307,1300,18347607,3918,18351525
"365",8,18353573,951,18354524,4267,18358791
"366",8,18368123,2768,18370891,2450,18373341
"367",8,18410741,1133,18411874,4085,18415959
"368",8,18446691,1217,18447908,4001,18451909
"369",8,18504692,1151,18505843,4067,18509910
"370",8,18532143,1083,18533226,4135,18537361
"371",8,18569560,1017,18570577,4201,18574778
"372",8,18591144,1300,18592444,3918,18596362
"373",8,18598744,1083,18599827,4135,18603962
"374",9,1226370,1100,1227470,4118,1231588
"375",9,1253837,1484,1255321,3734,1259055
"376",9,1274454,1267,1275721,3951,1279672
"377",9,1281321,1200,1282521,4018,1286539
"378",9,1370439,1050,1371489,4168,1375657
"379",9,1412823,1250,1414073,3968,1418041
"380",9,1440257,1517,1441774,3701,1445475
"381",9,1447107,1383,1448490,3835,1452325
"382",9,1501991,2217,1504208,3001,1507209
"383",9,1543125,1800,1544925,3418,1548343
"384",9,1640226,1467,1641693,3751,1645444
"385",9,1647077,1233,1648310,3984,1652294
"386",9,1701911,1433,1703344,3785,1707129
"387",9,1708761,917,1709678,4301,1713979
"388",9,1729344,1051,1730395,4168,1734563
"389",9,1784145,1000,1785145,4218,1789363
"390",9,1791012,850,1791862,4368,1796230
"391",9,1797879,850,1798729,4368,1803097
"392",9,1825296,1117,1826413,4101,1830514
"393",9,1859580,1183,1860763,4035,1864798
"394",9,1887030,750,1887780,4468,1892248
"395",9,1935048,1066,1936114,4152,1940266
"396",9,1969348,1517,1970865,3701,1974566
"397",9,1976198,1184,1977382,4034,1981416
"398",9,2072216,1167,2073383,4051,2077434
"399",9,2168218,1033,2169251,4185,2173436
"400",9,2202552,1233,2203785,3985,2207770
"401",9,2209418,1467,2210885,3752,2214637
"402",9,2278103,767,2278870,4451,2283321
"403",9,2353571,1817,2355388,3401,2358789
"404",9,2394738,1350,2396088,3868,2399956
"405",9,2401588,917,2402505,4301,2406806
"406",9,2449522,1267,2450789,3951,2454740
"407",9,2463239,1034,2464273,4184,2468457
"408",9,2525007,917,2525924,4301,2530225
"409",9,2538740,1517,2540257,3701,2543958
"410",10,4274217,1551,4275768,3667,4279435
"411",10,4294768,1766,4296534,3452,4299986
"412",10,4322368,1300,4323668,3918,4327586
"413",10,4349735,1134,4350869,4084,4354953
"414",10,4392136,1250,4393386,3968,4397354
"415",10,4406453,1817,4408270,3401,4411671
"416",10,4427770,1433,4429203,3785,4432988
"417",10,4482620,1051,4483671,4167,4487838
"418",10,4531488,1817,4533305,3401,4536706
"419",10,4621523,1350,4622873,3868,4626741
"420",10,4635273,1883,4637156,3335,4640491
"421",10,4655790,1934,4657724,3284,4661008
"422",10,4683557,1350,4684907,3868,4688775
"423",10,4704157,1501,4705658,3717,4709375
"424",10,4836043,1283,4837326,3935,4841261
"425",10,4857943,984,4858927,4234,4863161
"426",10,4871960,2034,4873994,3184,4877178
"427",10,4906561,4016,4910577,1202,4911779
"428",10,4920444,1600,4922044,3618,4925662
"429",10,4934178,1333,4935511,3884,4939395
"430",10,4941028,1117,4942145,4101,4946246
"431",10,4962461,1101,4963562,4117,4967679
"432",10,4976162,1950,4978112,3268,4981380
"433",10,5004479,1533,5006012,3685,5009697
"434",10,5025229,1117,5026346,4101,5030447
"435",10,5045796,1100,5046896,4118,5051014
"436",10,5052663,1083,5053746,4135,5057881
"437",10,5080063,1667,5081730,3551,5085281
"438",10,5087047,1950,5088997,3268,5092265
"439",10,5107780,2767,5110547,2451,5112998
"440",10,5164031,2184,5166215,3034,5169249
"441",10,5171631,1250,5172881,3968,5176849
"442",10,5220799,1567,5222366,3651,5226017
"443",10,5227849,1533,5229382,3685,5233067
"444",10,5241932,1301,5243233,3917,5247150
"445",10,5271533,1267,5272800,3951,5276751
"446",10,5285250,1550,5286800,3668,5290468
"447",10,5292317,1200,5293517,4018,5297535
"448",10,5306317,1383,5307700,3835,5311535
"449",10,5320767,1334,5322101,3884,5325985
"450",10,5342651,917,5343568,4301,5347869
"451",10,5384435,1350,5385785,3868,5389653
"452",10,5391285,1283,5392568,3935,5396503
"453",10,5398135,1567,5399702,3651,5403353
"454",10,5412785,1117,5413902,4101,5418003
"455",10,5440952,1850,5442802,3368,5446170
"456",10,5455969,1900,5457869,3318,5461187
"457",10,5469686,4967,5474653,1017,5475670
